Month,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy,Age_Group
Nov,Friday,Pontiac,Urban,Tuesday,Dec,Male,Married,27,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,8,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils,Adult
Dec,Tuesday,Accura,Urban,Friday,Jan,Male,Married,34,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,16,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,All Perils,Adult
Feb,Monday,Honda,Rural,Friday,Mar,Male,Single,39,Policy Holder,Sedan - Liability,Sport,more than 69000,0,10,400,3,more than 30,more than 30,none,new,16 to 17,Yes,No,External,none,no change,1 vehicle,Liability,Adult
Feb,Tuesday,Chevrolet,Urban,Thursday,Feb,Female,Single,34,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,3,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,Adult
Jan,Thursday,Pontiac,Urban,Wednesday,Mar,Male,Married,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,4 to 8 years,2 vehicles,Liability,Adult
Jan,Thursday,Honda,Urban,Monday,Jan,Male,Single,39,Third Party,Sedan - All Perils,Sedan,more than 69000,0,6,400,4,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,All Perils,Adult
Jan,Friday,Honda,Urban,Friday,Jan,Male,Single,39,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,8,400,3,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,no change,1 vehicle,Collision,Adult
Jan,Thursday,Ford,Rural,Friday,Jan,Male,Single,60,Third Party,Sedan - Liability,Sport,40000 to 59000,0,14,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,Liability,Middle Age
Jan,Monday,Pontiac,Urban,Tuesday,Jan,Male,Married,51,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,14,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Liability,Middle Age
Dec,Wednesday,Toyota,Urban,Friday,Jan,Male,Married,37,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,14,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Collision,Adult
Dec,Sunday,Toyota,Urban,Monday,Dec,Male,Married,52,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,Collision,Middle Age
Jul,Tuesday,Toyota,Urban,Thursday,Jul,Male,Single,23,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8,400,1,more than 30,more than 30,more than 4,4 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,Collision,Young
Dec,Thursday,Mazda,Urban,Monday,Jan,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4,400,2,more than 30,more than 30,none,3 years,31 to 35,No,No,Internal,none,no change,1 vehicle,Collision,Adult
Dec,Saturday,Toyota,Urban,Thursday,Jan,Male,Married,27,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,4,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,All Perils,Adult
Dec,Wednesday,Pontiac,Urban,Wednesday,Jan,Female,Married,46,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,7,400,2,more than 30,more than 30,none,6 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,All Perils,Middle Age
Dec,Sunday,Mazda,Urban,Wednesday,Jan,Male,Married,79,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,9,400,2,more than 30,more than 30,1,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,All Perils,Senior
Dec,Thursday,Toyota,Urban,Friday,Jan,Male,Married,54,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,Liability,Middle Age
Jan,Sunday,Mazda,Urban,Wednesday,Jan,Male,Married,35,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Liability,Adult
Jan,Sunday,Honda,Urban,Tuesday,Jan,Male,Married,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Liability,Adult
Jan,Sunday,Chevrolet,Urban,Monday,Jan,Male,Married,46,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,15,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,All Perils,Middle Age
Dec,Friday,Toyota,Urban,Monday,Jan,Male,Divorced,36,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,15,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Adult
Jul,Wednesday,Saturn,Urban,Wednesday,Aug,Male,Married,44,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,7,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,3 to 4,All Perils,Middle Age
Jan,Monday,Honda,Urban,Monday,Jan,Male,Single,39,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,12,400,2,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,no change,1 vehicle,Collision,Adult
Jan,Tuesday,Chevrolet,Rural,Wednesday,Jan,Male,Married,40,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,1,700,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils,Adult
Jan,Friday,Honda,Urban,Monday,Jan,Male,Married,79,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5,400,3,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,Liability,Senior
Jan,Friday,VW,Rural,Saturday,Jan,Male,Married,41,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,3,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,4 to 8 years,2 vehicles,All Perils,Middle Age
Jan,Monday,Mazda,Urban,Wednesday,Jan,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,Collision,Middle Age
Jan,Sunday,Honda,Urban,Tuesday,Jan,Male,Married,45,Policy Holder,Sedan - Liability,Sport,more than 69000,0,8,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,Middle Age
Jan,Saturday,Honda,Urban,Friday,Jan,Male,Married,42,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,12,400,3,more than 30,more than 30,1,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils,Middle Age
Jan,Saturday,Toyota,Urban,Monday,Jan,Female,Married,56,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,15,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,Collision,Middle Age
Jan,Saturday,Toyota,Urban,Monday,Jan,Male,Married,43,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,5,400,1,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Collision,Middle Age
Jan,Friday,Toyota,Urban,Friday,Jan,Male,Married,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Liability,Adult
Jan,Thursday,Ford,Urban,Wednesday,Jan,Female,Married,54,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,16,400,1,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,All Perils,Middle Age
Jan,Tuesday,Pontiac,Urban,Wednesday,Jan,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,16,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,All Perils,Middle Age
Jan,Sunday,Toyota,Urban,Sunday,Jan,Male,Single,29,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,7,400,3,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,Adult
Jan,Saturday,Toyota,Urban,Wednesday,Feb,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Jan,Saturday,Mazda,Urban,Tuesday,Feb,Female,Single,42,Policy Holder,Sedan - Liability,Sport,more than 69000,0,14,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,Middle Age
Feb,Wednesday,Toyota,Rural,Wednesday,Feb,Male,Married,34,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Liability,Adult
Feb,Tuesday,Pontiac,Urban,Tuesday,Feb,Female,Married,31,Policy Holder,Sedan - Liability,Sport,less than 20000,0,2,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Liability,Adult
Dec,Wednesday,Honda,Urban,Friday,Jan,Male,Married,52,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,All Perils,Middle Age
Dec,Friday,Mazda,Rural,Thursday,Jan,Male,Married,30,Policy Holder,Sedan - Liability,Sport,more than 69000,0,2,400,4,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
Dec,Thursday,Mazda,Urban,Tuesday,Jan,Male,Married,26,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,5,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability,Adult
Dec,Saturday,Honda,Urban,Monday,Jan,Male,Single,21,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,11,400,2,more than 30,more than 30,none,5 years,26 to 30,No,No,External,none,no change,1 vehicle,Collision,Young
Jan,Tuesday,Dodge,Urban,Wednesday,Feb,Male,Married,60,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6,400,4,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,Collision,Middle Age
Jan,Monday,Toyota,Urban,Tuesday,Jan,Male,Single,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,Adult
Jan,Wednesday,Honda,Urban,Monday,Jan,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,Adult
Jan,Thursday,Honda,Urban,Thursday,Jan,Female,Married,43,Third Party,Sport - Collision,Sport,more than 69000,1,9,400,2,more than 30,more than 30,1,4 years,36 to 40,No,No,External,none,2 to 3 years,2 vehicles,Collision,Middle Age
Jan,Thursday,Pontiac,Urban,Monday,Jan,Male,Single,33,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,8,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,Adult
Jan,Tuesday,Mazda,Urban,Tuesday,Jan,Male,Single,25,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,10,400,1,more than 30,more than 30,more than 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,Collision,Young
Jul,Thursday,Accura,Urban,Monday,Aug,Male,Married,48,Third Party,Sedan - Collision,Sedan,40000 to 59000,0,5,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Jan,Friday,Pontiac,Urban,Monday,Jan,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,15,400,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision,Middle Age
Jul,Friday,Pontiac,Urban,Thursday,Aug,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,10,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,All Perils,Adult
Jan,Wednesday,Toyota,Urban,Monday,Jan,Male,Single,38,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,7,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils,Adult
Jul,Friday,Honda,Urban,Wednesday,Aug,Female,Married,54,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,4,400,4,more than 30,more than 30,2 to 4,5 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,Collision,Middle Age
Feb,Thursday,Honda,Urban,Friday,Feb,Male,Married,31,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,4,400,3,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,Adult
Feb,Tuesday,Chevrolet,Urban,Tuesday,Feb,Male,Married,45,Policy Holder,Utility - Collision,Utility,more than 69000,0,7,400,3,more than 30,more than 30,1,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision,Middle Age
Feb,Monday,Mazda,Urban,Wednesday,Feb,Male,Married,60,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,3,400,2,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Sep,Saturday,Mazda,Urban,Tuesday,Sep,Female,Married,46,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,Liability,Middle Age
Feb,Tuesday,Chevrolet,Urban,Wednesday,Mar,Male,Married,43,Third Party,Sedan - Liability,Sport,20000 to 29000,0,4,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,Middle Age
Feb,Monday,Pontiac,Urban,Tuesday,Feb,Female,Single,35,Policy Holder,Sedan - Liability,Sport,more than 69000,0,14,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability,Adult
Feb,Monday,Pontiac,Urban,Monday,Mar,Male,Married,27,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,9,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,1 year,1 vehicle,All Perils,Adult
Feb,Saturday,Pontiac,Urban,Wednesday,Apr,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,14,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Feb,Monday,Ford,Urban,Tuesday,Feb,Male,Married,38,Third Party,Sedan - Collision,Sedan,40000 to 59000,0,15,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,3 to 4,Collision,Adult
Feb,Friday,Mazda,Urban,Monday,Feb,Male,Married,66,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6,400,1,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,Collision,Senior
Feb,Thursday,Honda,Urban,Friday,Feb,Male,Single,39,Policy Holder,Sedan - Liability,Sport,more than 69000,0,12,400,1,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,Liability,Adult
Feb,Thursday,Ford,Urban,Friday,Feb,Male,Married,43,Policy Holder,Utility - All Perils,Utility,more than 69000,0,13,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils,Middle Age
Feb,Monday,Toyota,Urban,Monday,Feb,Female,Married,60,Policy Holder,Sedan - Liability,Sport,less than 20000,0,12,400,1,more than 30,more than 30,1,5 years,51 to 65,No,No,External,none,no change,1 vehicle,Liability,Middle Age
Jan,Wednesday,Chevrolet,Urban,Wednesday,Apr,Male,Single,28,Policy Holder,Utility - All Perils,Utility,more than 69000,0,11,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,All Perils,Adult
Jan,Wednesday,Pontiac,Urban,Tuesday,Feb,Male,Married,77,Policy Holder,Utility - All Perils,Utility,more than 69000,0,14,400,2,more than 30,more than 30,more than 4,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,All Perils,Senior
Jan,Wednesday,VW,Urban,Wednesday,Feb,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,8,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,Collision,Middle Age
Feb,Tuesday,Chevrolet,Urban,Monday,Mar,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,11,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision,Adult
Feb,Sunday,Toyota,Urban,Wednesday,Feb,Male,Single,48,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,3,400,3,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Liability,Middle Age
Feb,Tuesday,Accura,Urban,Tuesday,Feb,Male,Married,37,Policy Holder,Utility - All Perils,Utility,more than 69000,0,10,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,All Perils,Adult
Feb,Wednesday,Toyota,Urban,Monday,Feb,Male,Married,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,14,400,2,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,Adult
Feb,Thursday,Mazda,Urban,Monday,Feb,Female,Single,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,12,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Collision,Adult
Jan,Monday,Mazda,Urban,Monday,Jan,Male,Married,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,13,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,Adult
Feb,Tuesday,Toyota,Urban,Tuesday,Feb,Male,Single,35,Third Party,Sedan - Liability,Sport,20000 to 29000,0,4,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,Adult
Feb,Tuesday,Chevrolet,Urban,Thursday,Feb,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,12,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,Middle Age
Jan,Monday,Toyota,Urban,Monday,Jan,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Jan,Friday,Mazda,Urban,Monday,Jan,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,15,400,3,more than 30,more than 30,none,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,Collision,Middle Age
Jan,Friday,Honda,Urban,Friday,Feb,Male,Single,27,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,16,400,2,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Jan,Thursday,Honda,Urban,Thursday,Feb,Male,Married,50,Policy Holder,Sport - Collision,Sport,more than 69000,0,7,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Jan,Thursday,Toyota,Urban,Friday,Jan,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,11,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Collision,Middle Age
Jan,Tuesday,Mazda,Urban,Thursday,Jan,Male,Married,30,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,14,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils,Adult
Jan,Monday,Honda,Urban,Monday,Jan,Male,Single,39,Policy Holder,Sedan - Liability,Sport,more than 69000,0,14,400,1,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,Liability,Adult
Jan,Saturday,Toyota,Urban,Thursday,Feb,Male,Single,21,Third Party,Sedan - Collision,Sedan,less than 20000,0,16,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,Collision,Young
Jan,Wednesday,Pontiac,Urban,Tuesday,Jan,Male,Married,49,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,16,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,All Perils,Middle Age
Jan,Monday,Accura,Urban,Friday,Jan,Male,Married,42,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,15,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,Middle Age
Jan,Monday,Mercury,Urban,Wednesday,Jan,Male,Married,53,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,14,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,All Perils,Middle Age
Dec,Friday,Pontiac,Urban,Monday,Mar,Male,Married,38,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,7,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Adult
Dec,Friday,Toyota,Rural,Monday,Jan,Male,Married,39,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,13,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,Adult
May,Thursday,Honda,Rural,Thursday,May,Male,Single,39,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,6,400,2,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,All Perils,Adult
Feb,Monday,VW,Urban,Thursday,Mar,Male,Married,59,Third Party,Sedan - All Perils,Sedan,more than 69000,0,16,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,All Perils,Middle Age
Mar,Friday,Chevrolet,Urban,Monday,Mar,Male,Married,43,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,15,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Liability,Middle Age
Apr,Friday,Mazda,Urban,Tuesday,Apr,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,14,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Jul,Monday,Honda,Urban,Monday,Jul,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,Internal,3 to 5,no change,1 vehicle,Collision,Middle Age
Jul,Monday,Pontiac,Urban,Monday,Jul,Female,Married,37,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Liability,Adult
Feb,Sunday,Mazda,Urban,Thursday,Mar,Male,Married,53,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11,500,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,2 to 3 years,1 vehicle,Liability,Middle Age
Feb,Thursday,Toyota,Urban,Friday,Feb,Male,Married,49,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,6,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Liability,Middle Age
Apr,Monday,Toyota,Urban,Wednesday,Apr,Male,Married,26,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,13,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Feb,Saturday,Pontiac,Urban,Thursday,Feb,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,10,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,Collision,Middle Age
Feb,Saturday,Honda,Urban,Tuesday,Feb,Male,Married,41,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,Middle Age
Aug,Monday,Honda,Urban,Wednesday,Aug,Male,Single,34,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,15,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,All Perils,Adult
Apr,Thursday,Jaguar,Urban,Thursday,Oct,Male,Married,41,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,8,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,1 to 2,no change,3 to 4,Liability,Middle Age
Jun,Wednesday,Pontiac,Urban,Thursday,Jun,Male,Married,49,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,6,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,All Perils,Middle Age
Jun,Sunday,Pontiac,Urban,Tuesday,Jun,Male,Married,59,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,Collision,Middle Age
Jun,Tuesday,Toyota,Urban,Tuesday,Jun,Male,Married,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
Jun,Wednesday,Honda,Urban,Friday,Jun,Male,Single,39,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,2,400,1,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,Collision,Adult
Feb,Friday,Honda,Urban,Tuesday,Feb,Female,Single,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,10,400,2,more than 30,more than 30,1,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,Adult
Feb,Friday,Toyota,Rural,Friday,Feb,Male,Married,45,Third Party,Sedan - Liability,Sport,20000 to 29000,0,5,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,4 to 8 years,2 vehicles,Liability,Middle Age
Feb,Thursday,Pontiac,Urban,Thursday,Mar,Male,Single,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,13,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,Adult
